time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/22:15:41.267296,1150,1669695341,265502929,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.023178399999999932, -1.09399368, 0.6970903799999997, -2.4026542, 0.4925409999999997, 1.6839009999999999, 0.4741393306568062, 0.04, 0.04)",(),()
2022/11/28/22:15:41.366748,1151,1669695341,365510463,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.023178399999999932, -1.09399368, 0.6970903799999997, -2.4026542, 0.4925409999999997, 1.6839009999999999, 0.4741393306568062, 0.04, 0.04)",(),()
2022/11/28/22:15:41.466415,1152,1669695341,465417623,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.022598939999999956, -1.0939917011100033, 0.6970962525434911, -2.4029544, 0.4925442365726785, 1.683904868018072, 0.4741420720087088, 0.04, 0.04)",(),()
2022/11/28/22:15:41.566866,1153,1669695341,565471887,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.020860560000000472, -1.0887052799999999, 0.7133152599999999, -2.4032546, 0.5012329000000002, 1.6944569999999999, 0.4815312599999997, 0.04, 0.04)",(),()
2022/11/28/22:15:41.666431,1154,1669695341,665431976,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.015645420000000243, -1.07777592, 0.7446060999999995, -2.4029544, 0.5180372400000004, 1.714815, 0.49601776, 0.04, 0.04)",(),()
2022/11/28/22:15:41.766729,1155,1669695341,765412807,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.0028972999999998805, -1.05521208, 0.8042904800000001, -2.3990518, 0.54816916, 1.7536459999999998, 0.5220934599999998, 0.04, 0.04)",(),()
2022/11/28/22:15:41.867275,1156,1669695341,865525960,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.020860560000000028, -1.022424, 0.8859943400000003, -2.3870438, 0.5846751399999999, 1.804541, 0.5562815999999997, 0.04, 0.04)",(),()
2022/11/28/22:15:41.966798,1157,1669695341,965437412,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.060843300000000156, -0.98082192, 0.9885587599999996, -2.3627276, 0.6229195000000001, 1.8644839999999998, 0.5962643399999998, 0.04, 0.04)",(),()
2022/11/28/22:15:42.067039,1158,1669695342,65448522,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.12110713999999989, -0.93675192, 1.1061891400000001, -2.324302, 0.6582665600000004, 1.926689, 0.6374059999999999, 0.04, 0.04)",(),()
2022/11/28/22:15:42.166941,1159,1669695342,165458679,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.1889039600000002, -0.90396384, 1.21454816, -2.2810732, 0.6837627999999998, 1.976453, 0.6721735999999998, 0.04, 0.04)",(),()
